JobID | Start Date           | End Date             | Exit Status
42981 |   05:14:10 - 04/June |   11:19:02 - 15/June | COMPLETED: 0
42982 |   05:17:23 - 04/June |   05:50:09 - 04/June | COMPLETED: 0
42983 |   05:20:33 - 04/June |   05:46:39 - 04/June | COMPLETED: 0
42988 |   11:08:27 - 04/June |   11:12:23 - 04/June | COMPLETED: 134
42989 |   11:12:22 - 04/June |                    - | FAILED    
42990 |   11:27:10 - 04/June |   00:34:42 - 05/June | COMPLETED: 0
42991 |   11:27:50 - 04/June |                    - | FAILED    
43001 |   14:39:26 - 04/June |                    - | FAILED    
43003 |   14:41:59 - 04/June |   14:42:00 - 04/June | COMPLETED: 0
43004 |   14:45:09 - 04/June |   14:45:09 - 04/June | COMPLETED: 0
43005 |   16:15:54 - 04/June |   17:18:09 - 04/June | COMPLETED: 1
43006 |   18:10:36 - 04/June |                    - | FAILED    
43007 |   19:01:39 - 04/June |   12:13:01 - 09/June | COMPLETED: 0
43010 |   19:45:26 - 04/June |   19:45:27 - 04/June | COMPLETED: 1
43011 |   19:46:37 - 04/June |   19:46:38 - 04/June | COMPLETED: 1
43012 |   19:48:19 - 04/June |   02:15:53 - 06/June | COMPLETED: 0
43013 |   19:57:25 - 04/June |   19:58:22 - 04/June | COMPLETED: 1
43014 |   20:01:41 - 04/June |   20:02:36 - 04/June | COMPLETED: 1
43015 |   20:04:47 - 04/June |                    - | FAILED    
43016 |   20:13:05 - 04/June |   02:08:56 - 06/June | COMPLETED: 0
43017 |   00:52:49 - 05/June |   02:33:35 - 05/June | COMPLETED: 0
43018 |   01:17:45 - 05/June |   02:32:35 - 05/June | COMPLETED: 0
43019 |   01:21:30 - 05/June |   02:41:20 - 05/June | COMPLETED: 0
43020 |   08:48:42 - 05/June |   08:50:33 - 05/June | COMPLETED: 0
43021 |   08:54:06 - 05/June |                    - | FAILED    
43022 |   12:53:28 - 05/June |                    - | FAILED    
43023 |   12:58:20 - 05/June |                    - | FAILED    
42957 |   23:39:29 - 05/June |   08:03:54 - 06/June | COMPLETED: 0
43029 |   01:13:52 - 06/June |                    - | FAILED    
43026 |   02:08:56 - 06/June |   02:09:16 - 06/June | COMPLETED: 1
43027 |   02:09:17 - 06/June |   02:09:33 - 06/June | COMPLETED: 1
43030 |   02:42:35 - 06/June |   02:47:18 - 06/June | COMPLETED: 0
43031 |   03:40:24 - 06/June |   03:41:28 - 06/June | COMPLETED: 1
43033 |   03:42:25 - 06/June |   03:43:28 - 06/June | COMPLETED: 1
43035 |   03:49:08 - 06/June |   16:07:38 - 08/June | COMPLETED: 0
43036 |   03:49:36 - 06/June |   09:40:08 - 07/June | COMPLETED: 0
43037 |   05:03:38 - 06/June |   05:03:49 - 06/June | COMPLETED: 0
43038 |   05:07:19 - 06/June |   05:07:28 - 06/June | COMPLETED: 1
43039 |   05:08:48 - 06/June |   05:08:57 - 06/June | COMPLETED: 1
43040 |   05:10:43 - 06/June |   05:10:52 - 06/June | COMPLETED: 1
43041 |   05:13:15 - 06/June |   05:13:24 - 06/June | COMPLETED: 0
43042 |   05:14:57 - 06/June |   05:18:01 - 06/June | COMPLETED: 0
43043 |   05:26:22 - 06/June |   05:29:25 - 06/June | COMPLETED: 0
43044 |   05:27:12 - 06/June |                    - | FAILED    
43045 |   05:29:55 - 06/June |                    - | FAILED    
43046 |   05:37:44 - 06/June |   05:40:47 - 06/June | COMPLETED: 0
43047 |   05:40:06 - 06/June |                    - | FAILED    
43048 |   05:43:22 - 06/June |   05:43:42 - 06/June | COMPLETED: 1
43049 |   05:44:28 - 06/June |   05:44:46 - 06/June | COMPLETED: 1
43051 |   05:47:41 - 06/June |   05:50:44 - 06/June | COMPLETED: 0
43052 |   05:50:09 - 06/June |                    - | FAILED    
43053 |   05:55:25 - 06/June |   05:55:26 - 06/June | COMPLETED: 2
43054 |   05:57:18 - 06/June |   06:00:21 - 06/June | COMPLETED: 0
43055 |   05:58:12 - 06/June |                    - | FAILED    
43056 |   06:05:44 - 06/June |   06:08:47 - 06/June | COMPLETED: 0
43057 |   06:08:47 - 06/June |                    - | FAILED    
43058 |   06:11:14 - 06/June |   06:14:17 - 06/June | COMPLETED: 0
43059 |   06:14:17 - 06/June |                    - | FAILED    
43061 |   06:36:16 - 06/June |   11:41:44 - 06/June | COMPLETED: 1
43062 |   08:03:55 - 06/June |   13:27:49 - 06/June | COMPLETED: 1
43065 |   10:06:44 - 06/June |   10:12:03 - 06/June | COMPLETED: 0
43066 |   10:07:54 - 06/June |   10:07:54 - 06/June | COMPLETED: 1
43067 |   10:08:50 - 06/June |   10:08:50 - 06/June | COMPLETED: 1
43068 |   10:11:57 - 06/June |   10:12:30 - 06/June | COMPLETED: 0
43069 |   10:13:37 - 06/June |   10:19:08 - 06/June | COMPLETED: 0
43070 |   10:14:35 - 06/June |   10:19:52 - 06/June | COMPLETED: 0
43071 |   10:32:20 - 06/June |   12:03:10 - 06/June | COMPLETED: 0
43072 |   10:34:02 - 06/June |   11:06:02 - 06/June | COMPLETED: 0
43074 |   10:46:46 - 06/June |   10:47:10 - 06/June | COMPLETED: 0
43075 |   10:54:44 - 06/June |   10:55:23 - 06/June | COMPLETED: 0
43076 |   10:55:15 - 06/June |   10:55:24 - 06/June | COMPLETED: 0
43077 |   10:56:54 - 06/June |   10:56:56 - 06/June | COMPLETED: 1
43078 |   10:57:48 - 06/June |   10:58:03 - 06/June | COMPLETED: 0
43080 |   13:58:54 - 06/June |                    - | FAILED    
43081 |   14:06:27 - 06/June |   14:07:11 - 06/June | COMPLETED: 2
43082 |   14:06:54 - 06/June |   21:53:21 - 06/June | COMPLETED: 0
43083 |   14:08:15 - 06/June |   14:23:37 - 06/June | COMPLETED: 0
43084 |   14:20:01 - 06/June |                    - | FAILED    
43085 |   14:41:56 - 06/June |                    - | FAILED    
43087 |   14:58:14 - 06/June |                    - | FAILED    
43088 |   14:59:57 - 06/June |   14:34:37 - 07/June | COMPLETED: 0
43089 |   15:02:40 - 06/June |                    - | FAILED    
43090 |   15:23:09 - 06/June |   18:48:24 - 06/June | COMPLETED: 0
43092 |   15:25:14 - 06/June |   18:48:54 - 06/June | COMPLETED: 0
4309
